date,hour,medicos_escalados
2019-11-01,0,4
2019-11-01,1,7
2019-11-01,2,7
2019-11-01,3,6
2019-11-01,4,6
2019-11-01,5,8
2019-11-01,6,4
2019-11-01,7,16
2019-11-01,8,14
2019-11-01,9,13
2019-11-01,10,15
2019-11-01,11,17
2019-11-01,12,16
2019-11-01,13,13
2019-11-01,14,13
2019-11-01,15,13
2019-11-01,16,12
2019-11-01,17,10
2019-11-01,18,14
2019-11-01,19,6
2019-11-01,20,6
2019-11-01,21,5
2019-11-01,22,4
2019-11-01,23,8
2019-11-02,0,4
2019-11-02,1,4
2019-11-02,2,3
2019-11-02,3,5
2019-11-02,4,3
2019-11-02,5,3
2019-11-02,6,3
2019-11-02,7,11
2019-11-02,8,10
2019-11-02,9,12
2019-11-02,10,14
2019-11-02,11,10
2019-11-02,12,14
2019-11-02,13,11
2019-11-02,14,8
2019-11-02,15,10
2019-11-02,16,7
2019-11-02,17,10
2019-11-02,18,10
2019-11-02,19,2
2019-11-02,20,2
2019-11-02,21,5
2019-11-02,22,3
2019-11-02,23,5
2019-11-03,0,4
2019-11-03,1,4
2019-11-03,2,4
2019-11-03,3,2
2019-11-03,4,2
2019-11-03,5,3
2019-11-03,6,3
2019-11-03,7,10
2019-11-03,8,12
2019-11-03,9,10
2019-11-03,10,13
2019-11-03,11,13
2019-11-03,12,14
2019-11-03,13,10
2019-11-03,14,8
2019-11-03,15,11
2019-11-03,16,9
2019-11-03,17,8
2019-11-03,18,11
2019-11-03,19,2
2019-11-03,20,2
2019-11-03,21,3
2019-11-03,22,4
2019-11-03,23,2
2019-11-04,0,6
2019-11-04,1,4
2019-11-04,2,7
2019-11-04,3,6
2019-11-04,4,5
2019-11-04,5,5
2019-11-04,6,6
2019-11-04,7,16
2019-11-04,8,17
2019-11-04,9,15
2019-11-04,10,13
2019-11-04,11,17
2019-11-04,12,16
2019-11-04,13,13
2019-11-04,14,10
2019-11-04,15,11
2019-11-04,16,13
2019-11-04,17,14
2019-11-04,18,12
2019-11-04,19,8
2019-11-04,20,8
2019-11-04,21,5
2019-11-04,22,8
2019-11-04,23,5
2019-11-05,0,5
2019-11-05,1,7
2019-11-05,2,7
2019-11-05,3,4
2019-11-05,4,8
2019-11-05,5,4
2019-11-05,6,8
2019-11-05,7,13
2019-11-05,8,16
2019-11-05,9,16
2019-11-05,10,16
2019-11-05,11,16
2019-11-05,12,15
2019-11-05,13,13
2019-11-05,14,11
2019-11-05,15,13
2019-11-05,16,12
2019-11-05,17,12
2019-11-05,18,12
2019-11-05,19,6
2019-11-05,20,4
2019-11-05,21,4
2019-11-05,22,5
2019-11-05,23,4
2019-11-06,0,6
2019-11-06,1,7
2019-11-06,2,7
2019-11-06,3,6
2019-11-06,4,8
2019-11-06,5,6
2019-11-06,6,4
2019-11-06,7,16
2019-11-06,8,15
2019-11-06,9,16
2019-11-06,10,15
2019-11-06,11,15
2019-11-06,12,13
2019-11-06,13,12
2019-11-06,14,13
2019-11-06,15,11
2019-11-06,16,13
2019-11-06,17,10
2019-11-06,18,11
2019-11-06,19,6
2019-11-06,20,8
2019-11-06,21,5
2019-11-06,22,5
2019-11-06,23,6
2019-11-07,0,8
2019-11-07,1,8
2019-11-07,2,4
2019-11-07,3,5
2019-11-07,4,8
2019-11-07,5,4
2019-11-07,6,8
2019-11-07,7,14
2019-11-07,8,17
2019-11-07,9,14
2019-11-07,10,15
2019-11-07,11,16
2019-11-07,12,13
2019-11-07,13,12
2019-11-07,14,12
2019-11-07,15,13
2019-11-07,16,14
2019-11-07,17,13
2019-11-07,18,12
2019-11-07,19,6
2019-11-07,20,6
2019-11-07,21,8
2019-11-07,22,5
2019-11-07,23,4
2019-11-08,0,5
2019-11-08,1,4
2019-11-08,2,4
2019-11-08,3,4
2019-11-08,4,7
2019-11-08,5,7
2019-11-08,6,7
2019-11-08,7,15
2019-11-08,8,16
2019-11-08,9,13
2019-11-08,10,17
2019-11-08,11,15
2019-11-08,12,17
2019-11-08,13,10
2019-11-08,14,12
2019-11-08,15,13
2019-11-08,16,12
2019-11-08,17,12
2019-11-08,18,10
2019-11-08,19,5
2019-11-08,20,5
2019-11-08,21,5
2019-11-08,22,7
2019-11-08,23,7
2019-11-09,0,4
2019-11-09,1,2
2019-11-09,2,5
2019-11-09,3,2
2019-11-09,4,2
2019-11-09,5,2
2019-11-09,6,2
2019-11-09,7,14
2019-11-09,8,11
2019-11-09,9,14
2019-11-09,10,12
2019-11-09,11,13
2019-11-09,12,12
2019-11-09,13,8
2019-11-09,14,10
2019-11-09,15,11
2019-11-09,16,8
2019-11-09,17,10
2019-11-09,18,8
2019-11-09,19,4
2019-11-09,20,4
2019-11-09,21,3
2019-11-09,22,4
2019-11-09,23,2
2019-11-10,0,2
2019-11-10,1,2
2019-11-10,2,3
2019-11-10,3,5
2019-11-10,4,2
2019-11-10,5,3
2019-11-10,6,4
2019-11-10,7,11
2019-11-10,8,13
2019-11-10,9,11
2019-11-10,10,14
2019-11-10,11,12
2019-11-10,12,12
2019-11-10,13,7
2019-11-10,14,9
